Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
Minnesota Hail Storm and Upper Midwest Severe Weather June 2017,2017,Hurricane,2017-06-09,2017-06-16,"Severe hail and high wind damage impacting numerous states including MN, WI, WY, TX, IA, IL, KS, MO, NE, NY, PA, VA. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.5,0,Hail 2017,Hurricane,Hail 2017
Colorado Hail Storm and Central Severe Weather May 2017,2017,Severe Weather,2017-05-08,2017-05-11,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding 1.5 billion.",$2.2,0,Severe Weather 2017,Other,Severe Weather 2017
Missouri and Arkansas Flooding and Central Severe Weather May 2017,2017,Flooding,2017-04-25,2017-05-07,"A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states.",$1.7,20,Flooding 2017,Other,Flooding 2017
South/ Southeast Severe Weather March 2017,2017,Severe Weather,2017-03-26,2017-03-28,"Large hail and high winds in Texas north of the Dallas metro region caused widespread damage to structures and vehicles. Severe storms also caused damage across several other states (OK, TN, KY, MS, AL) due to the combination of high winds, hail and tornadoes.",$2.1,0,Severe Weather 2017,Other,Severe Weather 2017 2
Southeast Freeze March 2017,2017,Freeze,2017-03-14,2017-03-16,"Severe freeze heavily damaged fruit crops across several southeastern states (SC, GA, NC, TN, AL, MS, FL, KY, VA). Mid-March freezes are not climatologically unusual in the Southeast, however many crops were blooming 3+ weeks early due to unusually warm temperatures during the preceding weeks. Damage was most severe in Georgia and South Carolina. Crops most impacted include peaches, blueberries, strawberries and apples, among others.",$1.0,0,Freeze 2017,Other,Freeze 2017
Midwest Tornado Outbreak March 2017,2017,Tornadoes,2017-03-06,2017-03-08,"Tornado outbreak and wind damage across many Midwestern states (AR, IA, IL, KS, MI, MN, MO, NE, NY, OH, WI). Missouri and Illinois were impacted by numerous tornadoes while Michigan and New York were affected by destructive, straight-line winds following the storm system. Nearly one million customers lost power in Michigan alone due to sustained high winds, which affected several states from Illinois to New York.",$2.1,2,Tornadoes 2017,Other,Tornadoes 2017
Central/ Southeast Tornado Outbreak March 2017,2017,Tornadoes,2017-02-28,2017-03-01,Over 70 tornadoes developed during a widespread outbreak across many central and southern states causing significant damage. There was also widespread straight-line wind and hail damage. This was the second large tornado outbreak to occur early in 2017.,$1.8,6,Tornadoes 2017,Other,Tornadoes 2017 2
California Flooding February 2017,2017,Flooding,2017-02-08,2017-02-22,"Heavy, persistent rainfall across northern and central California created substantial property and infrastructure damage from flooding, landslides and erosion. Notable impacts include severe damage to the Oroville Dam spillway, which caused a multi-day evacuation of 188,000 residents downstream. Excessive rainfall also caused flood damage in the city of San Jose, as Coyote Creek overflowed its banks and inundated neighborhoods forcing 14,000 residents to evacuate.",$1.5,5,Flooding 2017,Other,Flooding 2017 2
Southern Tornado Outbreak and Western Storms January 2017,2017,Tornadoes,2017-01-20,2017-01-22,"High wind damage occurred across southern California near San Diego followed by 79 confirmed tornadoes during an outbreak across many southern states including AL, FL, GA, LA, MS, SC and TX. This was the 3rd most tornadoes to occur in a single outbreak during a winter month (Dec.-Feb.) for records going back to 1950.",$1.1,24,Tornadoes 2017,Other,Tornadoes 2017 3
Western/ Southeast Wildfires Summer-Fall 2016,2016,Wildfires,2016-06-01,2016-12-31,"Western and Southern states experienced an active wildfire season with over 5.0 million acres burned nationally. Most notable was the firestorm that impacted Gatlinburg, Tennessee with hurricane-force wind gusts in extremely dry conditions creating volatile wildfire behavior. These wildfires destroyed nearly 2,500 structures and caused 14 fatalities. The drought conditions in many areas of the Southeast and California worsened the wildfire potential.",$2.5,21,Wildfires 2016,Other,Wildfires 2016
West/ Northeast/ Southeast Drought 2016,2016,Drought,2016-01-01,2016-12-31,"California's 5-year drought persisted during 2016 while new areas of extreme drought developed in states across the Northeast and Southeast. The long-term impacts of the drought in California have damaged forests where 100+ million trees have perished and are a public safety hazard. The agricultural impacts were reduced in California as water prices and crop fallowing declined. However, agricultural impacts developed in Northeast and Southeast due to stressed water supplies.",$3.6,0,Drought 2016,Other,Drought 2016
Hurricane Matthew October 2016,2016,Hurricane,2016-10-08,2016-10-12,"Hurricane Matthew paralleled the Southeast coast from Florida to North Carolina causing widespread damage from wind, storm surge and inland flooding. The most costly impacts were due to historic levels of river flooding in eastern North Carolina where 100,000 homes, businesses and other structures were damaged. This inland flooding was comparable to Hurricane Floyd (1999) that also impacted eastern North Carolina. Matthew narrowly missed landall on Florida's east coast as a powerful category 4 storm.",$10.3,49,Matthew 2016,Hurricane,Matthew 2016
