County,Acres,Color,County Area sq mi
APPLING,15234,blue,908
BAKER,7121,blue,349
BALDWIN,5440,pale,268
BANKS,3623,yellow,234
BARTOW,5594,pink,470
BERRIEN,4604,red,837
BIBB,4198,pale,254
BROOKS,14723,pink,498
BRYAN,11157,green,448
BULLOCH,12379,pink,864
BURKE,28514,red,981
BUTTS,1163,yellow,187
CALHOUN,6974,pale,284
CAMDEN,4052,brown,652
CAMPBELL,2198,red,207
CARROLL,4238,pale,504
CATOOSA,672,brown,162
CHARLTON,4799,pale,799
CHATHAM,6308,yellow,468
CHATTAHOOCHEE,4879,pink,251
CHATTOOGA,3508,red,314
CHEROKEE,4175,yellow,434
CLARKE,5184,brown,121
CLAY,5859,pink,216
CLAYTON,1603,brown,143
CLINCH,5273,brown,951
COBB,7373,pale,346
COFFEE,22718,pale,1083
COLQUITT,277,pale,557
COLUMBIA,6158,pale,308
COWETA,5238,blue,446
CRAWFORD,9238,yellow,328
DADE,468,blue,174
DAWSON,560,red,214
DECATUR,41520,brown,1129
DEKALB,1768,green,271
DODGE,15901,yellow,505
DOOLY,11338,brown,709
DOUGHERTY,10817,brown,334
DOUGLAS,5344,pink,200
EARLY,18536,red,516
ECHOLS,3013,green,420
EFFINGHAM,11216,pale,483
ELBERT,9500,brown,369
EMANUEL,20467,blue,1053
FANNIN,130,blue,391
FAYETTE,1563,green,199
FLOYD,12032,brown,514
FORSYTH,1950,green,247
FRANKLIN,3315,green,428
FULTON,1141,yellow,180
GILMER,680,brown,432
GLASCOCK,298,red,144
GLYNN,15509,blue,438
GORDON,2500,blue,367
GREENE,7477,pink,407
GWINNETT,2714,brown,484
HABERSHAM,2510,red,302
HALL,3534,pale,429
HANCOCK,20861,brown,479
HARALSON,2221,red,288
HARRIS,12248,blue,472
HART,2806,pink,257
HEARD,3217,pink,301
HENRY,3899,pale,330
HOUSTON,14204,green,581
IRWIN,12384,pink,708
JACKSON,5414,pink,422
JASPER,5785,green,377
JEFFERSON,8100,brown,530
JOHNSON,3656,yellow,307
JONES,12399,pink,395
LAURENS,19638,red,819
LEE,15319,green,362
LIBERTY,44601,red,930
LINCOLN,3660,yellow,257
LOWNDES,21749,blue,558
LUMPKIN,1948,yellow,286
MACON,7897,red,357
MADISON,3233,pale,293
MARION,3854,yellow,376
McDUFFIE,4492,pink,266
McINTOSH,13760,pale,453
MERIWETHER,5221,yellow,506
MILLER,9952,green,284
MILTON,317,pink,146
MITCHELL,17692,yellow,514
MONROE,12516,brown,485
MONTGOMERY,13836,pale,802
MORGAN,5764,yellow,355
MURRAY,250,yellow,343
MUSCOGEE,5997,pale,221
NEWTON,4209,red,276
OCONEE,2758,green,186
OGLETHORPE,9541,blue,440
PAULDING,3098,blue,315
PICKENS,745,green,233
PIERCE,6645,red,540
PIKE,4149,green,318
POLK,8289,green,307
PULASKI,14071,blue,468
PUTNAM,6554,blue,361
QUITMAN,2233,pale,161
RABUN,881,pale,377
RANDOLPH,8041,yellow,431
RICHMOND,6207,blue,329
ROCKDALE,2448,pink,132
SCHLEY,2386,pale,168
SCREVEN,14738,green,715
SPALDING,3582,red,200
STEWART,13745,blue,463
SUMTER,13799,pink,493
TALBOT,8948,pink,385
TALIAFERRO,7425,yellow,194
TATTNALL,15228,brown,851
TAYLOR,8955,brown,379
TELFAIR,9799,brown,444
TERRELL,10452,red,338
THOMAS,22947,red,763
TOWNS,480,brown,172
TROUP,8331,red,446
TWIGGS,7998,brown,365
UNION,164,pink,329
UPSON,8514,blue,325
WALKER,2684,green,447
WALTON,4772,blue,367
WARE,1019,yellow,949
WARREN,2189,green,287
WASHINGTON,11147,pale,684
WAYNE,11479,yellow,909
WEBSTER,4479,brown,212
WHITE,1026,blue,241
WHITFIELD,2773,red,292
WILCOX,9470,green,545
WILKES,13700,red,474
WILKINSON,6900,green,452
WORTH,7575,blue,752
