State,Week,Week Start,Week End,Relative Interest,Relative Interest Avg,Relative Interest MA,Interest Avg,Interest Max,Interest,Interest MA,Q20,Q80
AL,1,2014-01-05,2014-01-11,6,32.2788462,6.33333333,63,195.174263,11.7104558,12.3610366,10.1667367,29.7642763
AL,2,2014-01-12,2014-01-18,7,32.2788462,7,63,195.174263,13.6621984,13.6621984,11.3297866,31.0992155
AL,3,2014-01-19,2014-01-25,8,32.2788462,8.25,63,195.174263,15.613941,16.1018767,12.142696,31.2723398
AL,4,2014-01-26,2014-02-01,10,32.2788462,9,63,195.174263,19.5174263,17.5656836,13.971083,38.5162127
AL,5,2014-02-02,2014-02-08,8,32.2788462,7.75,63,195.174263,15.613941,15.1260054,11.1239329,30.1578589
AL,6,2014-02-09,2014-02-15,5,32.2788462,7.5,63,195.174263,9.75871314,14.6380697,11.9616025,31.385499
AL,7,2014-02-16,2014-02-22,12,32.2788462,11.25,63,195.174263,23.4209115,21.9571046,12.9152398,34.4858679
AL,8,2014-02-23,2014-03-01,16,32.2788462,14,63,195.174263,31.227882,27.3243968,14.0722643,39.2696141
AL,9,2014-03-02,2014-03-08,12,32.2788462,14,63,195.174263,23.4209115,27.3243968,15.0723409,43.1830511
AL,10,2014-03-09,2014-03-15,16,32.2788462,17.75,63,195.174263,31.227882,34.6434316,17.2371754,49.178901
AL,11,2014-03-16,2014-03-22,27,32.2788462,21.75,63,195.174263,52.6970509,42.4504021,18.6402744,62.4100565
AL,12,2014-03-23,2014-03-29,17,32.2788462,21.25,63,195.174263,33.1796247,41.4745308,17.2551393,65.8798289
AL,13,2014-03-30,2014-04-05,24,32.2788462,21,63,195.174263,46.8418231,40.9865952,18.3944868,69.7832587
AL,14,2014-04-06,2014-04-12,19,32.2788462,21,63,195.174263,37.0831099,40.9865952,24.0996866,70.8278234
AL,15,2014-04-13,2014-04-19,22,32.2788462,25.25,63,195.174263,42.9383378,49.2815013,25.9558435,71.482219
AL,16,2014-04-20,2014-04-26,38,32.2788462,33.25,63,195.174263,74.1662198,64.8954424,29.6513464,84.2279757
AL,17,2014-04-27,2014-05-03,35,32.2788462,42.5,63,195.174263,68.310992,82.9490617,30.0075887,86.486058
AL,18,2014-05-04,2014-05-10,62,32.2788462,54,63,195.174263,121.008043,105.394102,33.9332712,108.092223
AL,19,2014-05-11,2014-05-17,57,32.2788462,62.5,63,195.174263,111.24933,121.983914,37.605985,113.667902
AL,20,2014-05-18,2014-05-24,74,32.2788462,70.25,63,195.174263,144.428954,137.10992,47.4917362,133.487267
AL,21,2014-05-25,2014-05-31,76,32.2788462,73.75,63,195.174263,148.33244,143.941019,68.5050911,231.706959
AL,22,2014-06-01,2014-06-07,69,32.2788462,70.75,63,195.174263,134.670241,138.085791,75.0587993,282.763505
AL,23,2014-06-08,2014-06-14,69,32.2788462,76.75,63,195.174263,134.670241,149.796247,88.0646462,285.144738
AL,24,2014-06-15,2014-06-21,100,32.2788462,87,63,195.174263,195.174263,169.801609,83.7359322,244.059541
AL,25,2014-06-22,2014-06-28,79,32.2788462,85.5,63,195.174263,154.187668,166.873995,96.6662901,278.874155
AL,26,2014-06-29,2014-07-05,84,32.2788462,80,63,195.174263,163.946381,156.13941,95.0036625,309.930735
AL,27,2014-07-06,2014-07-12,73,32.2788462,71.25,63,195.174263,142.477212,139.061662,102.418206,336.465543
AL,28,2014-07-13,2014-07-19,55,32.2788462,58.25,63,195.174263,107.345845,113.689008,88.4802744,209.14924
AL,29,2014-07-20,2014-07-26,50,32.2788462,52.5,63,195.174263,97.5871314,102.466488,84.6523971,180.320201
AL,30,2014-07-27,2014-08-02,55,32.2788462,49.5,63,195.174263,107.345845,96.6112601,79.9853261,161.594638
AL,31,2014-08-03,2014-08-09,38,32.2788462,43.25,63,195.174263,74.1662198,84.4128686,69.0588453,141.465901
AL,32,2014-08-10,2014-08-16,42,32.2788462,39,63,195.174263,81.9731903,76.1179625,61.1444962,126.330224
AL,33,2014-08-17,2014-08-23,34,32.2788462,37,63,195.174263,66.3592493,72.2144772,55.4714008,115.96243
AL,34,2014-08-24,2014-08-30,38,32.2788462,37.25,63,195.174263,74.1662198,72.7024129,46.1570583,100.47786
AL,35,2014-08-31,2014-09-06,39,32.2788462,38.5,63,195.174263,76.1179625,75.1420912,45.4779714,105.102795
AL,36,2014-09-07,2014-09-13,38,32.2788462,35.25,63,195.174263,74.1662198,68.7989276,39.9133915,100.294139
AL,37,2014-09-14,2014-09-20,26,32.2788462,29,63,195.174263,50.7453083,56.6005362,31.8162315,83.9664444
AL,38,2014-09-21,2014-09-27,26,32.2788462,29,63,195.174263,50.7453083,56.6005362,32.5043417,104.349596
AL,39,2014-09-28,2014-10-04,38,32.2788462,32.5,63,195.174263,74.1662198,63.4316354,25.4844641,80.8301209
AL,40,2014-10-05,2014-10-11,28,32.2788462,28.5,63,195.174263,54.6487936,55.6246649,25.48734,80.8708623
AL,41,2014-10-12,2014-10-18,20,32.2788462,20,63,195.174263,39.0348525,39.0348525,23.8140459,70.5247971
AL,42,2014-10-19,2014-10-25,12,32.2788462,13.5,63,195.174263,23.4209115,26.3485255,18.0040974,65.6850364
AL,43,2014-10-26,2014-11-01,10,32.2788462,11.5,63,195.174263,19.5174263,22.4450402,17.1276672,59.4561485
AL,44,2014-11-02,2014-11-08,14,32.2788462,11.75,63,195.174263,27.3243968,22.9329759,14.9487541,48.3120339
AL,45,2014-11-09,2014-11-15,9,32.2788462,9.75,63,195.174263,17.5656836,19.0294906,13.7956884,44.715001
AL,46,2014-11-16,2014-11-22,7,32.2788462,7,63,195.174263,13.6621984,13.6621984,13.5334756,40.7890335
AL,47,2014-11-23,2014-11-29,5,32.2788462,5.75,63,195.174263,9.75871314,11.2225201,10.6531056,36.9682804
AL,48,2014-11-30,2014-12-06,6,32.2788462,7.75,63,195.174263,11.7104558,15.1260054,12.5277225,32.9651396
AL,49,2014-12-07,2014-12-13,14,32.2788462,10.5,63,195.174263,27.3243968,20.4932976,11.535905,43.8852354
AL,50,2014-12-14,2014-12-20,8,32.2788462,10.25,63,195.174263,15.613941,20.0053619,11.7129148,33.4672385
AL,51,2014-12-21,2014-12-27,11,32.2788462,8.75,63,195.174263,21.4691689,17.077748,10.203726,35.5899344
AL,52,2014-12-28,2015-01-03,5,32.2788462,8.25,63,195.174263,9.75871314,16.1018767,9.83832811,30.7329171
AL,1,2015-01-04,2015-01-10,12,32.2788462,8.75,63,195.174263,23.4209115,17.077748,10.1667367,29.7642763
AL,2,2015-01-11,2015-01-17,6,32.2788462,8.5,63,195.174263,11.7104558,16.5898123,11.3297866,31.0992155
AL,3,2015-01-18,2015-01-24,10,32.2788462,10,63,195.174263,19.5174263,19.5174263,12.142696,31.2723398
AL,4,2015-01-25,2015-01-31,14,32.2788462,11.75,63,195.174263,27.3243968,22.9329759,13.971083,38.5162127
AL,5,2015-02-01,2015-02-07,9,32.2788462,11,63,195.174263,17.5656836,21.4691689,11.1239329,30.1578589
AL,6,2015-02-08,2015-02-14,12,32.2788462,11.25,63,195.174263,23.4209115,21.9571046,11.9616025,31.385499
AL,7,2015-02-15,2015-02-21,12,32.2788462,11.25,63,195.174263,23.4209115,21.9571046,12.9152398,34.4858679
AL,8,2015-02-22,2015-02-28,9,32.2788462,9.5,63,195.174263,17.5656836,18.541555,14.0722643,39.2696141
AL,9,2015-03-01,2015-03-07,8,32.2788462,9.75,63,195.174263,15.613941,19.0294906,15.0723409,43.1830511
AL,10,2015-03-08,2015-03-14,14,32.2788462,17,63,195.174263,27.3243968,33.1796247,17.2371754,49.178901
AL,11,2015-03-15,2015-03-21,32,32.2788462,28.25,63,195.174263,62.4557641,55.1367292,18.6402744,62.4100565
AL,12,2015-03-22,2015-03-28,35,32.2788462,37.25,63,195.174263,68.310992,72.7024129,17.2551393,65.8798289
AL,13,2015-03-29,2015-04-04,47,32.2788462,49.25,63,195.174263,91.7319035,96.1233244,18.3944868,69.7832587
AL,14,2015-04-05,2015-04-11,68,32.2788462,59.25,63,195.174263,132.718499,115.640751,24.0996866,70.8278234
AL,15,2015-04-12,2015-04-18,54,32.2788462,57,63,195.174263,105.394102,111.24933,25.9558435,71.482219
AL,16,2015-04-19,2015-04-25,52,32.2788462,50.75,63,195.174263,101.490617,99.0509383,29.6513464,84.2279757
AL,17,2015-04-26,2015-05-02,45,32.2788462,56,63,195.174263,87.8284182,109.297587,30.0075887,86.486058
AL,18,2015-05-03,2015-05-09,82,32.2788462,70.25,63,195.174263,160.042895,137.10992,33.9332712,108.092223
AL,19,2015-05-10,2015-05-16,72,32.2788462,73,63,195.174263,140.525469,142.477212,37.605985,113.667902
AL,20,2015-05-17,2015-05-23,66,32.2788462,64.25,63,195.174263,128.815013,125.399464,47.4917362,133.487267
AL,21,2015-05-24,2015-05-30,53,32.2788462,61.75,63,195.174263,103.442359,120.520107,68.5050911,231.706959
AL,22,2015-05-31,2015-06-06,75,32.2788462,70.75,63,195.174263,146.380697,138.085791,75.0587993,282.763505
AL,23,2015-06-07,2015-06-13,80,32.2788462,76.25,63,195.174263,156.13941,148.820375,88.0646462,285.144738
AL,24,2015-06-14,2015-06-20,70,32.2788462,67,63,195.174263,136.621984,130.766756,83.7359322,244.059541
AL,25,2015-06-21,2015-06-27,48,32.2788462,55.25,63,195.174263,93.6836461,107.83378,96.6662901,278.874155
AL,26,2015-06-28,2015-07-04,55,32.2788462,56.5,63,195.174263,107.345845,110.273458,95.0036625,309.930735
AL,27,2015-07-05,2015-07-11,68,32.2788462,61.5,63,195.174263,132.718499,120.032172,102.418206,336.465543
AL,28,2015-07-12,2015-07-18,55,32.2788462,55.25,63,195.174263,107.345845,107.83378,88.4802744,209.14924
AL,29,2015-07-19,2015-07-25,43,32.2788462,45.5,63,195.174263,83.924933,88.8042895,84.6523971,180.320201
AL,30,2015-07-26,2015-08-01,41,32.2788462,41,63,195.174263,80.0214477,80.0214477,79.9853261,161.594638
AL,31,2015-08-02,2015-08-08,39,32.2788462,37.75,63,195.174263,76.1179625,73.6782842,69.0588453,141.465901
AL,32,2015-08-09,2015-08-15,32,32.2788462,33.25,63,195.174263,62.4557641,64.8954424,61.1444962,126.330224
AL,33,2015-08-16,2015-08-22,30,32.2788462,31,63,195.174263,58.5522788,60.5040214,55.4714008,115.96243
AL,34,2015-08-23,2015-08-29,32,32.2788462,32,63,195.174263,62.4557641,62.4557641,46.1570583,100.47786
AL,35,2015-08-30,2015-09-05,34,32.2788462,32.75,63,195.174263,66.3592493,63.919571,45.4779714,105.102795
AL,36,2015-09-06,2015-09-12,31,32.2788462,31.25,63,195.174263,60.5040214,60.9919571,39.9133915,100.294139
AL,37,2015-09-13,2015-09-19,29,32.2788462,29.75,63,195.174263,56.6005362,58.0643432,31.8162315,83.9664444
AL,38,2015-09-20,2015-09-26,30,32.2788462,27,63,195.174263,58.5522788,52.6970509,32.5043417,104.349596
AL,39,2015-09-27,2015-10-03,19,32.2788462,21.25,63,195.174263,37.0831099,41.4745308,25.4844641,80.8301209
AL,40,2015-10-04,2015-10-10,17,32.2788462,18.5,63,195.174263,33.1796247,36.1072386,25.48734,80.8708623
AL,41,2015-10-11,2015-10-17,21,32.2788462,19.25,63,195.174263,40.9865952,37.5710456,23.8140459,70.5247971
AL,42,2015-10-18,2015-10-24,18,32.2788462,19.5,63,195.174263,35.1313673,38.0589812,18.0040974,65.6850364
AL,43,2015-10-25,2015-10-31,21,32.2788462,19.25,63,195.174263,40.9865952,37.5710456,17.1276672,59.4561485
AL,44,2015-11-01,2015-11-07,17,32.2788462,17,63,195.174263,33.1796247,33.1796247,14.9487541,48.3120339
AL,45,2015-11-08,2015-11-14,13,32.2788462,14.25,63,195.174263,25.3726542,27.8123324,13.7956884,44.715001
AL,46,2015-11-15,2015-11-21,14,32.2788462,12.75,63,195.174263,27.3243968,24.8847185,13.5334756,40.7890335
AL,47,2015-11-22,2015-11-28,10,32.2788462,12,63,195.174263,19.5174263,23.4209115,10.6531056,36.9682804
AL,48,2015-11-29,2015-12-05,14,32.2788462,12.75,63,195.174263,27.3243968,24.8847185,12.5277225,32.9651396
AL,49,2015-12-06,2015-12-12,13,32.2788462,12.25,63,195.174263,25.3726542,23.9088472,11.535905,43.8852354
AL,50,2015-12-13,2015-12-19,9,32.2788462,10,63,195.174263,17.5656836,19.5174263,11.7129148,33.4672385
AL,51,2015-12-20,2015-12-26,9,32.2788462,8,63,195.174263,17.5656836,15.613941,10.203726,35.5899344
AL,52,2015-12-27,2016-01-02,5,32.2788462,6.33333333,63,195.174263,9.75871314,12.3610366,9.83832811,30.7329171
AK,1,2014-01-05,2014-01-11,8,25.1826923,9,96,381.214204,30.4971363,34.3092784,10.1667367,29.7642763
AK,2,2014-01-12,2014-01-18,11,25.1826923,10.75,96,381.214204,41.9335624,40.9805269,11.3297866,31.0992155
AK,3,2014-01-19,2014-01-25,13,25.1826923,12.75,96,381.214204,49.5578465,48.604811,12.142696,31.2723398
AK,4,2014-01-26,2014-02-01,14,25.1826923,12.5,96,381.214204,53.3699885,47.6517755,13.971083,38.5162127
AK,5,2014-02-02,2014-02-08,9,25.1826923,9.25,96,381.214204,34.3092784,35.2623139,11.1239329,30.1578589
AK,6,2014-02-09,2014-02-15,5,25.1826923,7.25,96,381.214204,19.0607102,27.6380298,11.9616025,31.385499
AK,7,2014-02-16,2014-02-22,10,25.1826923,8.5,96,381.214204,38.1214204,32.4032073,12.9152398,34.4858679
AK,8,2014-02-23,2014-03-01,9,25.1826923,8,96,381.214204,34.3092784,30.4971363,14.0722643,39.2696141
AK,9,2014-03-02,2014-03-08,4,25.1826923,6.5,96,381.214204,15.2485682,24.7789233,15.0723409,43.1830511
AK,10,2014-03-09,2014-03-15,9,25.1826923,8.25,96,381.214204,34.3092784,31.4501718,17.2371754,49.178901
AK,11,2014-03-16,2014-03-22,11,25.1826923,10.25,96,381.214204,41.9335624,39.0744559,18.6402744,62.4100565
AK,12,2014-03-23,2014-03-29,10,25.1826923,9.75,96,381.214204,38.1214204,37.1683849,17.2551393,65.8798289
AK,13,2014-03-30,2014-04-05,8,25.1826923,8.75,96,381.214204,30.4971363,33.3562428,18.3944868,69.7832587
AK,14,2014-04-06,2014-04-12,9,25.1826923,10.75,96,381.214204,34.3092784,40.9805269,24.0996866,70.8278234
AK,15,2014-04-13,2014-04-19,17,25.1826923,23.75,96,381.214204,64.8064147,90.5383734,25.9558435,71.482219
AK,16,2014-04-20,2014-04-26,52,25.1826923,50.25,96,381.214204,198.231386,191.560137,29.6513464,84.2279757
