date,time,done,Day of Week
2018-02-20,23:05,1,Tue
2018-02-21,16:00,1,Wed
2018-02-22,21:48,1,Thu
2018-02-23,35:26,1,Fri
2018-02-24,0:00,0,Sat
2018-02-25,58:08,1,Sun
2018-02-26,8:59,1,Mon
2018-02-27,9:53,1,Tue
2018-02-28,23:01,1,Wed
2018-03-01,32:29,1,Thu
2018-03-02,31:25,1,Fri
2018-03-03,28:18,1,Sat
2018-03-04,38:56,0,Sun
2018-03-05,9:52,1,Mon
2018-03-06,15:17,1,Tue
2018-03-07,32:34,1,Wed
2018-03-08,0:00,0,Thu
2018-03-09,37:00,1,Fri
2018-03-10,27:41,1,Sat
2018-03-11,52:18,0,Sun
2018-03-12,25:18,1,Mon
2018-03-13,14:29,1,Tue
2018-03-14,19:55,1,Wed
2018-03-15,33:10,1,Thu
2018-03-16,5:28,0,Fri
2018-03-17,0:00,0,Sat
2018-03-18,0:00,0,Sun
2018-03-19,11:47,1,Mon
2018-03-20,22:34,0,Tue
2018-03-21,14:45,1,Wed
2018-03-22,16:44,1,Thu
2018-03-23,31:49,0,Fri
2018-03-24,19:15,0,Sat
2018-03-25,0:00,0,Sun
2018-03-26,13:12,1,Mon
2018-03-27,14:02,1,Tue
2018-03-28,21:21,1,Wed
2018-03-29,0:00,0,Thu
2018-03-30,0:00,0,Fri
2018-03-31,0:00,0,Sat
2018-04-01,0:00,0,Sun
2018-04-02,15:01,1,Mon
2018-04-03,14:59,1,Tue
2018-04-04,20:19,1,Wed
2018-04-05,19:58,1,Thu
2018-04-06,34:46,1,Fri
2018-04-07,6:29,0,Sat
2018-04-08,0:00,0,Sun
2018-04-09,9:33,1,Mon
2018-04-10,11:51,1,Tue
2018-04-11,15:24,1,Wed
2018-04-12,40:00,1,Thu
2018-04-13,25:46,1,Fri
2018-04-14,29:47,1,Sat
2018-04-15,42:32,1,Sun
2018-04-16,10:19,1,Mon
2018-04-17,12:29,1,Tue
2018-04-18,15:42,1,Wed
2018-04-19,33:53,1,Thu
2018-04-20,37:46,1,Fri
2018-04-21,30:50,1,Sat
2018-04-22,74:25,1,Sun
2018-04-23,9:41,1,Mon
2018-04-24,15:54,1,Tue
2018-04-25,23:30,1,Wed
2018-04-26,32:25,1,Thu
2018-04-27,19:34,0,Fri
2018-04-28,0:00,0,Sat
2018-04-29,0:00,0,Sun
2018-04-30,10:15,1,Mon
2018-05-01,14:23,1,Tue
2018-05-02,20:55,1,Wed
2018-05-03,32:18,1,Thu
2018-05-04,41:51,1,Fri
2018-05-05,38:35,1,Sat
2018-05-06,0:00,0,Sun
2018-05-07,10:25,1,Mon
2018-05-08,12:30,1,Tue
2018-05-09,21:00,1,Wed
2018-05-10,0:00,0,Thu
2018-05-11,0:00,0,Fri
2018-05-12,0:00,0,Sat
2018-05-13,0:00,0,Sun
2018-05-14,0:00,0,Mon
2018-05-15,0:00,0,Tue
2018-05-16,0:00,0,Wed
2018-05-17,24:06,1,Thu
2018-05-18,0:00,0,Fri
2018-05-19,0:00,0,Sat
2018-05-20,0:00,0,Sun
2018-05-21,13:41,1,Mon
2018-05-22,17:30,1,Tue
2018-05-23,22:28,1,Wed
2018-05-24,26:41,1,Thu
2018-05-25,25:35,1,Fri
2018-05-26,16:38,1,Sat
2018-05-27,87:13,1,Sun
2018-05-28,19:03,1,Mon
2018-05-29,13:12,1,Tue
