date,rate,prestart time,total time,bytes
2018-07-01T11:13:32,6243686,0.045381,1.847688,11536384
2018-07-01T11:29:09,5989777,0.048258,1.926012,11536384
2018-07-01T16:30:50,492718,8.198123,23.413729,11536384
2018-07-01T17:17:00,6056057,0.148363,1.904933,11536384
2018-07-01T18:17:00,1306080,0.068413,8.832827,11536384
2018-07-01T19:17:00,6219162,0.056021,1.854974,11536384
2018-07-01T20:17:00,5718977,0.067649,2.017211,11536384
2018-07-01T21:17:00,89132,1.079951,129.428947,11536384
2018-07-01T22:17:00,1196420,0.054391,9.642414,11536384
2018-07-01T23:17:00,23511,0.076073,490.679641,11536384
2018-07-02T00:17:01,5989560,0.050532,1.926082,11536384
2018-07-02T01:17:00,1303062,0.135677,8.853286,11536384
2018-07-02T02:17:00,680099,0.067218,16.96278,11536384
2018-07-02T03:17:01,6192482,0.058881,1.862966,11536384
2018-07-02T04:17:00,6260655,0.066888,1.84268,11536384
2018-07-02T05:17:01,89661,0.065596,128.666211,11536384
2018-07-02T06:17:00,888042,0.06985,12.990808,11536384
2018-07-02T07:17:00,260762,0.103463,44.24091,11536384
2018-07-02T08:17:00,1127031,0.066129,10.236081,11536384
2018-07-02T09:17:00,516991,2.113149,22.31446,11536384
2018-07-02T10:17:00,6078848,0.05843,1.897791,11536384
2018-07-02T11:17:00,6349512,0.070541,1.816893,11536384
2018-07-02T12:17:00,6430648,0.064572,1.793969,11536384
2018-07-02T13:17:00,742111,0.07643,15.545349,11536384
2018-07-02T14:17:00,68492,0.136209,168.432917,11536384
2018-07-02T15:17:00,5080777,0.063621,2.270594,11536384
2018-07-02T16:17:00,6133627,0.089059,1.880842,11536384
2018-07-02T17:17:00,6542411,0.078376,1.763323,11536384
2018-07-02T18:17:00,218606,0.051178,52.772339,11536384
2018-07-02T19:17:00,154083,1.061215,74.871157,11536384
2018-07-02T19:18:16,140186,0.099422,82.292896,11536384
2018-07-02T19:19:40,136596,0.048411,84.455625,11536384
2018-07-02T20:17:00,56546,0.071668,204.016144,11536384
2018-07-02T20:20:25,50772,0.095677,227.218724,11536384
2018-07-02T20:24:13,57268,0.098544,201.442132,11536384
2018-07-02T21:17:00,4871837,0.090041,2.367974,11536384
2018-07-02T21:17:03,4953338,0.07352,2.329012,11536384
2018-07-02T21:17:07,5030354,0.058544,2.293354,11536384
2018-07-02T22:17:00,409055,0.181249,28.202491,11536384
2018-07-02T22:17:29,5788399,0.074923,1.993018,11536384
2018-07-02T22:17:32,5733980,0.056359,2.011933,11536384
2018-07-02T23:17:00,387166,0.081306,29.79699,11536384
2018-07-02T23:17:31,5290111,0.07298,2.180745,11536384
2018-07-02T23:17:34,6145010,0.064127,1.877358,11536384
2018-07-03T00:17:00,6188974,0.050349,1.864022,11536384
2018-07-03T00:17:03,6135995,0.046844,1.880116,11536384
2018-07-03T00:17:06,6199980,0.054667,1.860713,11536384
2018-07-03T01:17:00,634725,0.182922,18.17539,11536384
2018-07-03T01:17:20,768992,0.071769,15.001948,11536384
2018-07-03T01:17:36,770184,0.052406,14.978723,11536384
2018-07-03T02:17:00,52475,0.164238,219.84265,11536384
2018-07-03T02:20:41,46386,0.072749,248.702984,11536384
2018-07-03T02:24:51,45345,0.094274,254.411826,11536384
2018-07-03T03:17:00,393341,0.087278,29.329194,11536384
2018-07-03T03:17:31,6068618,0.053073,1.90099,11536384
2018-07-03T03:17:34,6035318,0.083275,1.911479,11536384
2018-07-03T04:17:01,54559,0.07692,211.446268,11536384
2018-07-03T04:20:33,56572,0.069769,203.92211,11536384
2018-07-03T04:23:58,56594,0.049737,203.843584,11536384
2018-07-03T05:17:00,31405,1.120311,367.33948,11536384
2018-07-03T05:23:08,4661696,0.05814,2.474718,11536384
2018-07-03T05:23:12,6410419,0.058083,1.79963,11536384
2018-07-03T06:17:00,66800,1.186004,172.698045,11536384
2018-07-03T06:19:54,5673529,0.094693,2.03337,11536384
2018-07-03T06:19:57,6041990,0.055262,1.909368,11536384
2018-07-03T07:17:00,495708,0.152757,23.272524,11536384
2018-07-03T07:17:24,6010759,0.053359,1.919289,11536384
2018-07-03T07:17:27,6113416,0.066321,1.88706,11536384
2018-07-03T08:17:00,722763,0.088006,15.961483,11536384
2018-07-03T08:18:16,487739,0.119086,23.652779,11536384
2018-07-03T08:19:40,164813,0.051685,69.996498,11536384
2018-07-03T09:17:00,6262565,0.086448,1.842118,11536384
2018-07-03T09:18:02,6388637,0.05461,1.805766,11536384
2018-07-03T09:19:04,6558314,0.072992,1.759047,11536384
2018-07-03T10:17:00,6500634,0.053877,1.774655,11536384
2018-07-03T10:18:02,6385168,0.059186,1.806747,11536384
2018-07-03T10:19:04,6379571,0.079036,1.808332,11536384
2018-07-03T11:17:00,5864880,0.18686,1.967028,11536384
2018-07-03T11:18:02,6499125,0.050858,1.775067,11536384
2018-07-03T11:19:04,6463398,0.055346,1.784879,11536384
2018-07-03T12:17:00,6298332,0.09337,1.831657,11536384
2018-07-03T12:18:02,6306674,0.068796,1.829234,11536384
2018-07-03T12:19:04,6521013,0.05039,1.769109,11536384
2018-07-03T13:17:00,6056394,0.076697,1.904827,11536384
