Delay in Years,Results
0.614,Negative
0.725,Negative
0.725,Negative
0.786,Negative
0.807,Negative
0.828,Negative
0.836,Negative
0.845,Negative
0.906,Negative
0.927,Negative
0.956,Negative
1.025,Negative
1.082,Negative
1.103,Negative
1.108,Negative
1.335,Negative
1.453,Negative
1.689,Negative
1.791,Negative
1.909,Negative
2.27,Negative
2.469,Negative
2.858,Negative
2.879,Negative
3.054,Negative
3.35,Negative
3.444,Negative
4.019,Negative
4.068,Negative
4.15,Negative
0.302,Positive
0.302,Positive
0.336,Positive
0.336,Positive
0.336,Positive
0.336,Positive
0.336,Positive
0.336,Positive
0.345,Positive
0.345,Positive
0.373,Positive
0.386,Positive
0.39,Positive
0.39,Positive
0.403,Positive
0.403,Positive
0.439,Positive
0.456,Positive
0.456,Positive
0.472,Positive
0.574,Positive
0.574,Positive
0.574,Positive
0.591,Positive
0.704,Positive
0.741,Positive
0.766,Positive
0.766,Positive
0.782,Positive
0.787,Positive
0.795,Positive
0.795,Positive
0.808,Positive
0.808,Positive
0.832,Positive
0.849,Positive
0.862,Positive
0.862,Positive
0.862,Positive
0.886,Positive
0.943,Positive
0.964,Positive
0.966,Positive
0.972,Positive
0.985,Positive
0.997,Positive
0.997,Positive
1.001,Positive
1.01,Positive
1.01,Positive
1.047,Positive
1.059,Positive
1.092,Positive
1.161,Positive
1.161,Positive
1.218,Positive
1.332,Positive
1.35,Positive
1.35,Positive
1.397,Positive
1.397,Positive
1.458,Positive
1.527,Positive
1.597,Positive
1.803,Positive
1.816,Positive
1.816,Positive
1.909,Positive
2.055,Positive
2.321,Positive
