What gender do you most identify as?,Response,Count,Share of Responses,Share of respondents
Female,adventure,18,0.0361,0.056
Female,architecture,4,0.0080,0.012
Female,art,6,0.0120,0.019
Female,beauty,2,0.0040,0.006
Female,break from routine,10,0.0201,0.031
Female,break from work,4,0.0080,0.012
Female,budget challenge,1,0.0020,0.003
Female,carpe diem,2,0.0040,0.006
Female,challenge,1,0.0020,0.003
Female,change of scenery,6,0.0120,0.019
Female,cheaper,1,0.0020,0.003
Female,crazy situations,1,0.0020,0.003
Female,new cultures,78,0.1566,0.243
Female,curiosity,15,0.0301,0.047
Female,discovery,5,0.0100,0.016
Female,diving,1,0.0020,0.003
Female,ecosystems,1,0.0020,0.003
Female,escape,5,0.0100,0.016
Female,everything,2,0.0040,0.006
Female,experiences,41,0.0823,0.128
Female,exploration,8,0.0161,0.025
Female,family,7,0.0141,0.022
Female,fomo,1,0.0020,0.003
Female,food,47,0.0944,0.146
Female,freedom,5,0.0100,0.016
Female,friends,3,0.0060,0.009
Female,fun,11,0.0221,0.034
Female,get away,3,0.0060,0.009
Female,have the means,1,0.0020,0.003
Female,hills,1,0.0020,0.003
Female,history,13,0.0261,0.040
Female,ignorance,2,0.0040,0.006
Female,immersion,1,0.0020,0.003
Female,instagram,1,0.0020,0.003
Female,journey,1,0.0020,0.003
Female,kite,1,0.0020,0.003
Female,language,2,0.0040,0.006
Female,learning,8,0.0161,0.025
Female,leave my comfort zone,2,0.0040,0.006
Female,looking for my place,1,0.0020,0.003
Female,memories,3,0.0060,0.009
Female,museums,1,0.0020,0.003
Female,nature,28,0.0562,0.087
Female,newness,20,0.0402,0.062
Female,nice things,1,0.0020,0.003
Female,observation,2,0.0040,0.006
Female,people,14,0.0281,0.044
Female,personal growth,10,0.0201,0.031
Female,photography,3,0.0060,0.009
Female,places,22,0.0442,0.069
Female,pleasure,3,0.0060,0.009
Female,relaxation,7,0.0141,0.022
Female,religion,1,0.0020,0.003
Female,school,1,0.0020,0.003
Female,see the world,22,0.0442,0.069
Female,sights,16,0.0321,0.050
Female,strangeness,2,0.0040,0.006
Female,stress relief,1,0.0020,0.003
Female,swimming,1,0.0020,0.003
Female,tourism,1,0.0020,0.003
Female,treasures of humanity,1,0.0020,0.003
Female,trip planning,2,0.0040,0.006
Female,wanderlust,8,0.0161,0.025
Female,weather,2,0.0040,0.006
Female,wildlife,2,0.0040,0.006
Female,wonder,1,0.0020,0.003
Male,absurdity,1,0.0015,0.002
Male,adventure,35,0.0509,0.065
Male,architecture,3,0.0044,0.006
Male,art,3,0.0044,0.006
Male,beaches,2,0.0029,0.004
Male,beautiful cheap small place,1,0.0015,0.002
Male,beauty,1,0.0015,0.002
Male,break from politics,1,0.0015,0.002
Male,break from routine,12,0.0174,0.022
Male,break from work,3,0.0044,0.006
Male,business,4,0.0058,0.007
Male,carpe diem,1,0.0015,0.002
Male,challenge,1,0.0015,0.002
Male,change of scenery,5,0.0073,0.009
Male,city life,4,0.0058,0.007
Male,cool shit,2,0.0029,0.004
Male,new cultures,92,0.1337,0.171
Male,curiosity,18,0.0262,0.034
Male,desire,1,0.0015,0.002
Male,discovery,7,0.0102,0.013
Male,diving,1,0.0015,0.002
Male,drink,4,0.0058,0.007
Male,ecosystems,1,0.0015,0.002
Male,escape,3,0.0044,0.006
Male,everything,3,0.0044,0.006
Male,experiences,56,0.0814,0.104
Male,exploration,30,0.0436,0.056
Male,family,5,0.0073,0.009
Male,food,37,0.0538,0.069
Male,freedom,11,0.0160,0.020
Male,friends,1,0.0015,0.002
Male,fulfillment,2,0.0029,0.004
Male,fun,22,0.0320,0.041
Male,geocaching,1,0.0015,0.002
Male,get away,5,0.0073,0.009
Male,google maps,1,0.0015,0.002
Male,have the means,1,0.0015,0.002
Male,hiking,1,0.0015,0.002
Male,history,20,0.0291,0.037
Male,industry discount,1,0.0015,0.002
Male,insignificance,1,0.0015,0.002
Male,inspiration,2,0.0029,0.004
Male,interest,2,0.0029,0.004
Male,journey,1,0.0015,0.002
Male,learning,8,0.0116,0.015
Male,leave my comfort zone,1,0.0015,0.002
Male,life,3,0.0044,0.006
Male,looking for something interesting,1,0.0015,0.002
Male,memories,3,0.0044,0.006
Male,music,1,0.0015,0.002
Male,nature,38,0.0552,0.071
Male,newness,27,0.0392,0.050
Male,nostalgia,1,0.0015,0.002
Male,nothing,3,0.0044,0.006
Male,party,2,0.0029,0.004
Male,people,32,0.0465,0.060
Male,personal growth,10,0.0145,0.019
Male,perspective,2,0.0029,0.004
Male,photography,8,0.0116,0.015
Male,places,21,0.0305,0.039
Male,pleasure,12,0.0174,0.022
Male,recharge,1,0.0015,0.002
Male,recommendations,1,0.0015,0.002
Male,relaxation,8,0.0116,0.015
Male,sea,1,0.0015,0.002
Male,searching far,1,0.0015,0.002
Male,secluded places,1,0.0015,0.002
Male,secret of life,1,0.0015,0.002
Male,see the world,55,0.0799,0.102
Male,sights,9,0.0131,0.017
Male,smells,1,0.0015,0.002
Male,snowboarding,1,0.0015,0.002
Male,soccer,1,0.0015,0.002
Male,sounds,1,0.0015,0.002
Male,sports,1,0.0015,0.002
Male,tourism,1,0.0015,0.002
Male,wanderlust,13,0.0189,0.024
Male,weather,6,0.0087,0.011
Male,wildlife,1,0.0015,0.002
Male,women,1,0.0015,0.002
Male,wonder,1,0.0015,0.002
