rgb,dose,CD,day,response,proportion secreting
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0070362602
#00549e,Low dose,CD8,0,IFNγ,0.0050169673
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0050298634
#00549e,Low dose,CD4,0,IFNγ,0.0070495835
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0020180512
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD4,0,IFNγ,0.0090610516
#00549e,Low dose,CD4,0,IFNγ,0.0020180512
#00549e,Low dose,CD8,0,IFNγ,0.0100849073
#00549e,Low dose,CD8,0,IFNγ,0.0030075867
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0070495835
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD8,0,IFNγ,0.0060192221
#00549e,Low dose,CD8,0,IFNγ,0.0040216091
#00549e,Low dose,CD4,0,IFNγ,0.0020180512
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD4,0,IFNγ,0.0060324485
#00549e,Low dose,CD4,0,IFNγ,0.0040333802
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD8,0,IFNγ,0.0140827756
#00549e,Low dose,CD8,0,IFNγ,0.0020094148
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0020180512
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0060192221
#00549e,Low dose,CD8,0,IFNγ,0.0040216091
#00549e,Low dose,CD4,0,IFNγ,0.0070495835
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0100966615
#00549e,Low dose,CD4,0,IFNγ,0.0020180512
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0090484295
#00549e,Low dose,CD8,0,IFNγ,0.0030075867
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0020180512
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD4,0,IFNγ,0.0070495835
#00549e,Low dose,CD4,0,IFNγ,0.0040333802
#00549e,Low dose,CD8,0,IFNγ,0.0010039757
#00549e,Low dose,CD4,0,IFNγ,0.0010097066
#00549e,Low dose,CD8,0,IFNγ,0.0070362602
#00549e,Low dose,CD8,0,IFNγ,0.0040216091
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0050297703
#ef3124,High dose,CD4,0,IFNγ,0.0030180924
#ef3124,High dose,CD4,0,IFNγ,0.0020180512
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0020093589
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0090484295
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0040216091
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0040333802
#ef3124,High dose,CD4,0,IFNγ,0.0030180924
#ef3124,High dose,CD4,0,IFNγ,0.0020180512
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0020093589
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD4,0,IFNγ,0.0272039962
#ef3124,High dose,CD4,0,IFNγ,0.0060325601
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0110945516
#ef3124,High dose,CD8,0,IFNγ,0.0080486318
#ef3124,High dose,CD8,0,IFNγ,0.0030075867
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD4,0,IFNγ,0.0040333802
#ef3124,High dose,CD4,0,IFNγ,0.0030180924
#ef3124,High dose,CD4,0,IFNγ,0.0020180512
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD8,0,IFNγ,0.0020093589
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0040216091
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD8,0,IFNγ,0.0010040037
#ef3124,High dose,CD8,0,IFNγ,0.0080486318
#ef3124,High dose,CD4,0,IFNγ,0.0010097066
#ef3124,High dose,CD4,0,IFNγ,0.0040333802
#ef3124,High dose,CD4,0,IFNγ,0.0030180924
#ef3124,High dose,CD4,0,IFNγ,0.0020180512
#ef3124,High dose,CD8,0,IFNγ,0.0020093589
#00549e,Low dose,CD4,14,IFNγ,0.0946165908
#00549e,Low dose,CD4,14,IFNγ,0.4964591875
#00549e,Low dose,CD8,14,IFNγ,0.0576461271
#00549e,Low dose,CD4,14,IFNγ,0.6721435045
#00549e,Low dose,CD4,14,IFNγ,0.3192756077
#00549e,Low dose,CD4,14,IFNγ,0.0845456972
#00549e,Low dose,CD4,14,IFNγ,0.2639143908
#00549e,Low dose,CD4,14,IFNγ,0.1484056199
#00549e,Low dose,CD8,14,IFNγ,0.6594632051
#00549e,Low dose,CD8,14,IFNγ,0.116379635
#00549e,Low dose,CD8,14,IFNγ,0.0604606695
#00549e,Low dose,CD8,14,IFNγ,0.0231886074
#00549e,Low dose,CD4,14,IFNγ,0.9099980463
#00549e,Low dose,CD4,14,IFNγ,0.0483741428
#00549e,Low dose,CD4,14,IFNγ,0.0352696405
#00549e,Low dose,CD4,14,IFNγ,0.0191584115
